Repository,Granularity level,fine-grained commits,CGR type,CGR left,CGR right,CGR traced location,Cause
PocketHub,2,"('732eba4fc69d03a28d227658635b85b88e01352c', 'd289face5d19744168a4df222005753e77754ae8')",Move And Inline Method,app/src/main/java/com/github/pockethub/android/ui/PagedItemFragment.java@public onCreate(savedInstanceState Bundle) : void,app/src/main/java/com/github/pockethub/android/ui/issue/IssueFragment.java@public onCreate(savedInstanceState Bundle) : void,"[BlameRes(sha1='035abe51e6e1111c8ff080ceb1c71ab005e12097', oline='25', file_name='app/src/main/java/com/github/mobile/android/ui/PagedItemFragment.java')]",
PocketHub,2,"('0bb5745848147810fd762c632c8f9b3b1ea2f037', 'd7cd6a74702722f3490ee2fff02b540ca26105bb')",Remove Parameter Modifier,app/src/main/java/com/github/mobile/ui/commit/CommitFileViewActivity.java@name : String,app/src/main/java/com/github/mobile/util/MarkdownUtils.java@name : String,"[BlameRes(sha1='bd0035745b1ab7456f0d521c8dd2f6a3390e8bac', oline='60', file_name='app/src/main/java/com/github/mobile/ui/commit/CommitFileViewActivity.java')]",
PocketHub,2,"('0bb5745848147810fd762c632c8f9b3b1ea2f037', 'd7cd6a74702722f3490ee2fff02b540ca26105bb')",Remove Parameter Modifier,app/src/main/java/com/github/mobile/ui/ref/BranchFileViewActivity.java@name : String,app/src/main/java/com/github/mobile/util/MarkdownUtils.java@name : String,"[BlameRes(sha1='8af494e8d6cc01060566747333f74c51a7fb80e7', oline='57', file_name='app/src/main/java/com/github/mobile/ui/ref/BranchFileViewActivity.java')]",
PocketHub,2,"('60a511821b208becd65d22a47146231b48b10f69', '2e461878448196c9d0387819b52baa0751aaf406')",Move And Rename Class,app/src/main/java/com/github/mobile/ui/RefreshRepsitoryTask.java@com.github.mobile.ui.RefreshRepsitoryTask,app/src/main/java/com/github/mobile/ui/repo/RefreshRepositoryTask.java@com.github.mobile.ui.repo.RefreshRepositoryTask,"[BlameRes(sha1='57f1cc3fb2ece01741b748c6e936d608a7ca4958', oline='12', file_name='app/src/main/java/com/github/mobile/ui/RefreshRepsitoryTask.java')]",
PocketHub,2,"('a415a63f4403b4187327f7f8d1662ea086f27766', 'f8bdfa9372c4f891a8a779251dbd6b9a64787fbd')",Pull Up Method,app/src/main/java/com/github/mobile/ui/user/UserNewsFragment.java@protected getLoadingMessage() : int,app/src/main/java/com/github/mobile/ui/NewsFragment.java@protected getLoadingMessage() : int,"[BlameRes(sha1='7ab73d53a0d68795739502e2f59d6596f7253d01', oline='60', file_name='app/src/main/java/com/github/mobile/android/ui/user/UserNewsFragment.java')]",
PocketHub,2,"('f014624576c6fb043d4acf48e06d827f95a8d355', '7cf617c8bc56cb5740d81cc43909a004f8d2835c')",Move And Rename Class,app/src/test/java/com/github/mobile/android/util/HtmlTest.java@com.github.mobile.android.util.HtmlTest,app/src/test/java/com/github/mobile/util/HtmlUtilsTest.java@com.github.mobile.util.HtmlUtilsTest,"[BlameRes(sha1='76c7a89fb90f3808aa4e0e8a2b42c73d3d6ab426', oline='8', file_name='app/src/test/java/com/github/mobile/android/util/HtmlTest.java')]",
PocketHub,2,"('a841a6142376bfeee1e610300f289e203c3875f6', 'ec9c11a097beade0a09527f2e516f055bdd670a0')",Move Method,app/src/main/java/com/github/mobile/android/issue/DashboardIssueFragment.java@protected getLoadingMessage() : int,app/src/main/java/com/github/mobile/android/gist/MyGistsFragment.java@protected getLoadingMessage() : int,"[BlameRes(sha1='7ab73d53a0d68795739502e2f59d6596f7253d01', oline='78', file_name='app/src/main/java/com/github/mobile/android/issue/DashboardIssueFragment.java')]",
PocketHub,2,"('cab0184642a49a4aee2f569d9a09b91da3026eb4', 'f29af2c1c27d2cb78e90c90c0059ea34c7c82762')",Extract Method,app/src/main/java/com/github/mobile/ui/issue/IssuesViewActivity.java@protected onCreate(savedInstanceState Bundle) : void,app/src/main/java/com/github/mobile/ui/issue/IssuesViewActivity.java@private configurePager() : void,"[BlameRes(sha1='d6e530a111e8008c88cd4a9242aaeb23e6284acc', oline='50', file_name='app/src/main/java/com/github/mobile/android/ui/issue/ViewIssuesActivity.java')]",
PocketHub,2,"('d5cc14edaf9250e318a8c75416bf1a1633b536ee', 'fd0f16a31a279679fdff2e253a600a91c84365c6')",Move Method,app/src/main/java/com/github/mobile/ui/search/RepositorySearchActivity.java@public onOptionsItemSelected(item MenuItem) : boolean,app/src/main/java/com/github/mobile/ui/search/SearchActivity.java@public onOptionsItemSelected(item MenuItem) : boolean,"[BlameRes(sha1='88422a07f27d781f48a6d103d6e7469e5e793fd7', oline='73', file_name='github-android/src/main/java/com/github/mobile/android/repo/RepoSearchActivity.java')]",G
PocketHub,2,"('d5cc14edaf9250e318a8c75416bf1a1633b536ee', 'fd0f16a31a279679fdff2e253a600a91c84365c6')",Move Method,app/src/main/java/com/github/mobile/ui/search/RepositorySearchActivity.java@protected onCreate(savedInstanceState Bundle) : void,app/src/main/java/com/github/mobile/ui/search/SearchActivity.java@protected onCreate(savedInstanceState Bundle) : void,"[BlameRes(sha1='ddb42167c4e0dd6078a11bc26e557d9f2d89dc2a', oline='62', file_name='app/src/main/java/com/github/mobile/android/repo/RepoSearchActivity.java')]",
PocketHub,2,"('d5cc14edaf9250e318a8c75416bf1a1633b536ee', 'fd0f16a31a279679fdff2e253a600a91c84365c6')",Move Method,app/src/main/java/com/github/mobile/ui/search/RepositorySearchActivity.java@protected onNewIntent(intent Intent) : void,app/src/main/java/com/github/mobile/ui/search/SearchActivity.java@protected onNewIntent(intent Intent) : void,"[BlameRes(sha1='c3d040b50e2bf6d815bac83f9d914353894c1dab', oline='99', file_name='github-android/src/main/java/com/github/mobile/android/repo/RepoSearchActivity.java')]",
PocketHub,2,"('d5cc14edaf9250e318a8c75416bf1a1633b536ee', 'fd0f16a31a279679fdff2e253a600a91c84365c6')",Move Method,app/src/main/java/com/github/mobile/ui/search/RepositorySearchActivity.java@private handleIntent(intent Intent) : void,app/src/main/java/com/github/mobile/ui/search/SearchActivity.java@private handleIntent(intent Intent) : void,"[BlameRes(sha1='c3d040b50e2bf6d815bac83f9d914353894c1dab', oline='105', file_name='github-android/src/main/java/com/github/mobile/android/repo/RepoSearchActivity.java')]",
PocketHub,2,"('d5cc14edaf9250e318a8c75416bf1a1633b536ee', 'fd0f16a31a279679fdff2e253a600a91c84365c6')",Move Method,app/src/main/java/com/github/mobile/ui/search/RepositorySearchActivity.java@private search(query String) : void,app/src/main/java/com/github/mobile/ui/search/SearchActivity.java@private search(query String) : void,"[BlameRes(sha1='af21d00234628cadab485d2adddaa823459b038b', oline='91', file_name='github-android/src/main/java/com/github/mobile/android/repo/RepoSearchActivity.java')]",
PocketHub,2,"('488e9016cdcb07512e050187d3ef73f1632f777a', '5250ea85b31869331e19e2631912af027b6a7c4f')",Extract Superclass,app/src/main/java/com/github/mobile/ui/comment/CreateCommentActivity.java@com.github.mobile.ui.comment.CreateCommentActivity,app/src/main/java/com/github/mobile/ui/comment/CreateCommentActivity.java@com.github.mobile.ui.comment.CreateCommentActivity,"[BlameRes(sha1='3eeb9a77f9c5c87ded5f287378803df63483c637', oline='22', file_name='app/src/main/java/com/github/mobile/ui/comment/CreateCommentActivity.java')]",
PocketHub,2,"('75feacc0dddc0bc0510fd987a648f53961a2a12a', '38a84ae7d4ec4176f8651391dc48d1674a6ec297')",Replace Attribute,app/src/main/java/com/github/mobile/ui/user/UserViewActivity.java@private indicator : TitlePageIndicator,app/src/main/java/com/github/mobile/ui/TabPagerActivity.java@protected host : TabHost,"[BlameRes(sha1='0c31a094a3af50b6a2a154561ad6ef9661bc51ad', oline='45', file_name='app/src/main/java/com/github/mobile/ui/user/UserViewActivity.java')]",
PocketHub,2,"('f2d00d43d8990692cf56a5f0aa6c9fbc09974f73', 'c58659bcfab7e63f781906b781fe51c496b5a299')",Pull Up Attribute,app/src/main/java/com/github/mobile/ui/issue/IssueDashboardActivity.java@private pager : ViewPager,app/src/main/java/com/github/mobile/ui/TabPagerActivity.java@protected pager : ViewPager,"[BlameRes(sha1='1538294e7e26ccc8127103f419fe22436a3bd53b', oline='22', file_name='github-android/src/main/java/com/github/mobile/android/issue/IssueDashboardActivity.java')]",
PocketHub,2,"('f2d00d43d8990692cf56a5f0aa6c9fbc09974f73', 'c58659bcfab7e63f781906b781fe51c496b5a299')",Change Attribute Access Modifier,app/src/main/java/com/github/mobile/ui/issue/IssueDashboardActivity.java@private pager : ViewPager,app/src/main/java/com/github/mobile/ui/TabPagerActivity.java@protected pager : ViewPager,"[BlameRes(sha1='1538294e7e26ccc8127103f419fe22436a3bd53b', oline='22', file_name='github-android/src/main/java/com/github/mobile/android/issue/IssueDashboardActivity.java')]",
PocketHub,2,"('f2d00d43d8990692cf56a5f0aa6c9fbc09974f73', 'c58659bcfab7e63f781906b781fe51c496b5a299')",Remove Attribute Annotation,app/src/main/java/com/github/mobile/ui/issue/IssueDashboardActivity.java@@InjectView(id.vp_pages),app/src/main/java/com/github/mobile/ui/TabPagerActivity.java@protected pager : ViewPager,"[BlameRes(sha1='1538294e7e26ccc8127103f419fe22436a3bd53b', oline='21', file_name='github-android/src/main/java/com/github/mobile/android/issue/IssueDashboardActivity.java')]",
PocketHub,2,"('584a134b0bdbee8ffb28f2114b6570fcf585ff99', '6ebffb235d98fa63235877977204cdb3974fe2c9')",Extract Method,"app/src/main/java/com/github/mobile/ui/user/NewsListAdapter.java@private formatCreate(event Event, main StyledText, details StyledText) : void","app/src/main/java/com/github/mobile/ui/user/NewsListAdapter.java@private boldActor(text StyledText, event Event) : StyledText","[BlameRes(sha1='d8fa6213684a7d998415f93e5005e94ba05b15cb', oline='155', file_name='app/src/main/java/com/github/mobile/ui/user/NewsListAdapter.java')]",
PocketHub,2,"('584a134b0bdbee8ffb28f2114b6570fcf585ff99', '6ebffb235d98fa63235877977204cdb3974fe2c9')",Extract Method,"app/src/main/java/com/github/mobile/ui/user/NewsListAdapter.java@private formatCreate(event Event, main StyledText, details StyledText) : void","app/src/main/java/com/github/mobile/ui/user/NewsListAdapter.java@private boldRepo(text StyledText, event Event) : StyledText","[BlameRes(sha1='d8fa6213684a7d998415f93e5005e94ba05b15cb', oline='155', file_name='app/src/main/java/com/github/mobile/ui/user/NewsListAdapter.java')]",
PocketHub,2,"('584a134b0bdbee8ffb28f2114b6570fcf585ff99', '6ebffb235d98fa63235877977204cdb3974fe2c9')",Change Variable Type,app/src/main/java/com/github/mobile/ui/user/NewsListAdapter.java@repoName : String,app/src/main/java/com/github/mobile/ui/user/NewsListAdapter.java@repo : EventRepository,"[BlameRes(sha1='1b791e427c9fb5aaf65979a87bc09b99f72ab62c', oline='161', file_name='app/src/main/java/com/github/mobile/ui/user/NewsListAdapter.java')]",
PocketHub,2,"('584a134b0bdbee8ffb28f2114b6570fcf585ff99', '6ebffb235d98fa63235877977204cdb3974fe2c9')",Rename Variable,app/src/main/java/com/github/mobile/ui/user/NewsListAdapter.java@repoName : String,app/src/main/java/com/github/mobile/ui/user/NewsListAdapter.java@repo : EventRepository,"[BlameRes(sha1='1b791e427c9fb5aaf65979a87bc09b99f72ab62c', oline='161', file_name='app/src/main/java/com/github/mobile/ui/user/NewsListAdapter.java')]",
PocketHub,2,"('32e40a07779b769eb3099590c491802850ff333b', '90feae35a8a97d5803ba1aea8d7f77e345106e41')",Add Parameter,"app/src/main/java/com/github/mobile/ui/repo/RepositoryListAdapter.java@protected update(view RecentRepositoryItemView, repository Repository) : void",app/src/main/java/com/github/mobile/ui/repo/RepositoryListAdapter.java@watchers : int,"[BlameRes(sha1='6bc2afeb1776e449bc57dd55fb8b671899b2cb9c', oline='39', file_name='app/src/main/java/com/github/mobile/repo/RepositoryListAdapter.java')]",
PocketHub,2,"('32e40a07779b769eb3099590c491802850ff333b', '90feae35a8a97d5803ba1aea8d7f77e345106e41')",Add Parameter,"app/src/main/java/com/github/mobile/ui/repo/RepositoryListAdapter.java@protected update(view RecentRepositoryItemView, repository Repository) : void",app/src/main/java/com/github/mobile/ui/repo/RepositoryListAdapter.java@forks : int,"[BlameRes(sha1='6bc2afeb1776e449bc57dd55fb8b671899b2cb9c', oline='39', file_name='app/src/main/java/com/github/mobile/repo/RepositoryListAdapter.java')]",
PocketHub,2,"('5e60fa0d3f31a00ab7ed8820cd78b7e5bbebbb0f', 'ddc303648afe670e2eafc9cb3d87f2c49a178a6c')",Rename Variable,app/src/main/java/com/github/mobile/ui/repo/UserRepositoryListAdapter.java@id : String,app/src/main/java/com/github/mobile/ui/repo/UserRepositoryListAdapter.java@description : String,"[BlameRes(sha1='1fd9fa89980dbb52206c61e7c2074dcd7fb36abd', oline='31', file_name='app/src/main/java/com/github/mobile/ui/repo/UserRepositoryListAdapter.java')]",
PocketHub,2,"('86668517f454d8e7e8efe78a560181e419c749ff', '4d101ac25a80cb4c544d72cb53588e060b439b22')",Move And Rename Class,app/src/main/java/com/github/mobile/guice/GitHubAccountScope.java@com.github.mobile.guice.GitHubAccountScope,app/src/main/java/com/github/mobile/accounts/AccountScope.java@com.github.mobile.accounts.AccountScope,"[BlameRes(sha1='99be0e98b0b325c1b7de0f76f0d15c7783258e40', oline='24', file_name='app/src/main/java/com/github/mobile/android/guice/GitHubAccountScope.java')]",
PocketHub,2,"('86668517f454d8e7e8efe78a560181e419c749ff', '4d101ac25a80cb4c544d72cb53588e060b439b22')",Merge Package,app/src/main/java/com/github/mobile/guice/ScopeBase.java@com.github.mobile.guice.ScopeBase,app/src/main/java/com/github/mobile/accounts/ScopeBase.java@com.github.mobile.accounts.ScopeBase,"[BlameRes(sha1='99be0e98b0b325c1b7de0f76f0d15c7783258e40', oline='9', file_name='app/src/main/java/com/github/mobile/android/guice/ScopeBase.java')]",
PocketHub,2,"('c69b43f03a79b8540dea7bd891775142c63e8f8b', 'a841a6142376bfeee1e610300f289e203c3875f6')",Move Method,app/src/main/java/com/github/mobile/android/gist/PublicGistsFragment.java@protected getLoadingMessage() : int,app/src/main/java/com/github/mobile/android/ui/gist/GistsFragment.java@protected getLoadingMessage() : int,"[BlameRes(sha1='104cb1d167c981bbdc1a63c4ea8fc6a37ada7edd', oline='111', file_name='app/src/main/java/com/github/mobile/android/gist/PublicGistsFragment.java')]",
PocketHub,2,"('ed19837f9f25e6858146b63235fe923319c8d1a0', '958987b0a0678665a9d5a836e2123a13fecdc19b')",Extract Method,app/src/main/java/com/github/mobile/android/ResourcePager.java@public reset() : ResourcePager<E>,app/src/main/java/com/github/mobile/android/ResourcePager.java@public clear() : ResourcePager<E>,"[BlameRes(sha1='525e54f7863910e0fe3d174b866fd8cbda742819', oline='23', file_name='app/src/main/java/com/github/mobile/android/ResourcePager.java')]",
PocketHub,2,"('53e8c9465fd331ae1d92ac7ed84fc67d0d660f0f', '99be0e98b0b325c1b7de0f76f0d15c7783258e40')",Extract Superclass,app/src/main/java/com/github/mobile/android/ThrowableLoader.java@com.github.mobile.android.ThrowableLoader,app/src/main/java/com/github/mobile/android/ThrowableLoader.java@com.github.mobile.android.ThrowableLoader,"[BlameRes(sha1='08f96bc6abd00af61a94b81582c812840e552875', oline='5', file_name='github-android/src/main/java/com/github/mobile/android/ThrowableLoader.java')]",
PocketHub,2,"('e8343015a998933721deb32bad2c67a20d221de1', 'dd023863755cb9a5428ce65d8521c5e77a649725')",Rename Method,"app/src/main/java/com/github/mobile/android/util/Image.java@public roundCorners(bitmap Bitmap, radiusX int, radiusY int) : Bitmap","app/src/main/java/com/github/mobile/android/util/Image.java@public roundCornersAndOverlayOnWhite(source Bitmap, radius int) : Bitmap","[BlameRes(sha1='de2894502057b05f5ccba82603525bafe6347b5c', oline='116', file_name='github-android/src/main/java/com/github/mobile/android/util/Image.java')]",
