Repository,Granularity level,fine-grained commits,CGR type,CGR left,CGR right,CGR traced location,Cause
cascading,2,"('81a6e237f9bd488d7b9e9aa585988757ee700f90', '2369abeab84a2f54acb381304fc1d249b7339037')",Add Parameter,"cascading-nested/src/main/java/cascading/nested/core/NestedGetAllAggregateFunction.java@public NestedGetAllAggregateFunction(nestedCoercibleType NestedCoercibleType<Node,Result>, stringRootPointer String, failOnMissingNode boolean, pointerMap Map<String,NestedAggregateFunction<Node,?>>)","cascading-nested/src/main/java/cascading/nested/core/NestedGetAllAggregateFunction.java@streamWrapper : SerFunction<Stream<Node>,Stream<Node>>","[BlameRes(sha1='5ae11c85e7082ab1d05b467784fbbc78e9c7e3af', oline='24', file_name='cascading-nested/src/main/java/cascading/nested/core/NestedGetAllAggregateFunction.java')]",G
cascading,2,"('0f2c028598d810dec7b3571bda41d3665d893747', 'e8b0c460e881eae55acdd7818580318ff99064be')",Change Variable Type,"cascading-core/src/main/java/cascading/flow/planner/graph/ElementGraphs.java@copy : IdentityDirectedGraph<V,E>","cascading-core/src/main/java/cascading/flow/planner/graph/ElementGraphs.java@copy : IdentityMultiGraphGraph<V,E>","[BlameRes(sha1='2689295018e6e1ccebd2922264209362f1a9f45a', oline='366', file_name='cascading-core/src/main/java/cascading/flow/planner/graph/ElementGraphs.java')]",
cascading,2,"('0f2c028598d810dec7b3571bda41d3665d893747', 'e8b0c460e881eae55acdd7818580318ff99064be')",Rename Method,"cascading-core/src/main/java/cascading/flow/planner/iso/finder/GraphFinder.java@public getEdgeMapping(plannerContext PlannerContext, elementGraph ElementGraph, vertexMapping Map<ElementExpression,FlowElement>) : Map<ScopeExpression,Set<Scope>>","cascading-core/src/main/java/cascading/flow/planner/iso/finder/GraphFinder.java@public getCapturedEdgeMapping(plannerContext PlannerContext, elementGraph ElementGraph, vertexMapping Map<ElementExpression,FlowElement>) : Map<ScopeExpression,Set<Scope>>","[BlameRes(sha1='c15d5d7f0dc3f49f7c30bb2758947b082bed8455', oline='179', file_name='cascading-core/src/main/java/cascading/flow/planner/iso/finder/GraphFinder.java')]",
cascading,2,"('0f2c028598d810dec7b3571bda41d3665d893747', 'e8b0c460e881eae55acdd7818580318ff99064be')",Rename Method,"cascading-core/src/main/java/cascading/flow/planner/iso/finder/GraphFinder.java@public getAllEdges(plannerContext PlannerContext, elementGraph ElementGraph, vertexMapping Map<ElementExpression,FlowElement>) : Set<Scope>","cascading-core/src/main/java/cascading/flow/planner/iso/finder/GraphFinder.java@public getCapturedEdges(plannerContext PlannerContext, elementGraph ElementGraph, vertexMapping Map<ElementExpression,FlowElement>) : Set<Scope>","[BlameRes(sha1='c15d5d7f0dc3f49f7c30bb2758947b082bed8455', oline='201', file_name='cascading-core/src/main/java/cascading/flow/planner/iso/finder/GraphFinder.java')]",
cascading,2,"('0f2c028598d810dec7b3571bda41d3665d893747', 'e8b0c460e881eae55acdd7818580318ff99064be')",Extract Variable,cascading-hadoop2-tez/src/main/java/cascading/flow/tez/planner/rule/expressiongraph/BottomUpConsecutiveBoundariesExpressionGraph.java@,cascading-hadoop2-tez/src/main/java/cascading/flow/tez/planner/rule/expressiongraph/BottomUpConsecutiveBoundariesExpressionGraph.java@head : ElementExpression,"[BlameRes(sha1='750f19ae2342bd5feec5378d83bff1ee37e56f5f', oline='31', file_name='cascading-hadoop2-tez/src/main/java/cascading/flow/tez/planner/rule/expressiongraph/BottomUpConsecutiveBoundariesExpressionGraph.java')]",
cascading,2,"('b3c90d68ca672722ee86f3c892adda1b611e35d1', 'f70993567d64fc22b6051365518daa4f19d9bfc5')",Add Variable Modifier,cascading-hadoop/src/main/shared-mr1/cascading/flow/hadoop/stream/graph/HadoopMapStreamGraph.java@hadoopProcess : HadoopFlowProcess,cascading-hadoop/src/main/shared-mr1/cascading/flow/hadoop/stream/graph/HadoopMapStreamGraph.java@hadoopProcess : HadoopFlowProcess,"[BlameRes(sha1='1c60726de43297f7dad3267ff6fb08f5a2785f65', oline='60', file_name='src/hadoop/cascading/flow/hadoop/HadoopMapStreamGraph.java')]",
cascading,2,"('faab207df81633b358666284db8298af9ec30d71', '0d13e6bd578a927bb69e086bd1651417429301a5')",Extract Variable,cascading-core/src/main/java/cascading/flow/planner/iso/finder/GraphFinder.java@,cascading-core/src/main/java/cascading/flow/planner/iso/finder/GraphFinder.java@feasiblePair : boolean,"[BlameRes(sha1='5527356f9ce5ae00d67155371450526cbeb6e00b', oline='224', file_name='cascading-core/src/main/java/cascading/flow/planner/iso/finder/GraphFinder.java')]",
cascading,2,"('faab207df81633b358666284db8298af9ec30d71', '0d13e6bd578a927bb69e086bd1651417429301a5')",Change Method Access Modifier,cascading-core/src/main/java/cascading/flow/planner/iso/finder/IndexedGraph.java@private getIndex(result Object) : Integer,cascading-core/src/main/java/cascading/flow/planner/iso/finder/IndexedGraph.java@public getIndex(result Object) : Integer,"[BlameRes(sha1='5527356f9ce5ae00d67155371450526cbeb6e00b', oline='101', file_name='cascading-core/src/main/java/cascading/flow/planner/iso/finder/IndexedGraph.java')]",
cascading,2,"('faab207df81633b358666284db8298af9ec30d71', '0d13e6bd578a927bb69e086bd1651417429301a5')",Extract Method,"cascading-core/src/main/java/cascading/flow/planner/iso/finder/State.java@protected areCompatibleEdges(v1 int, v2 int, v3 int, v4 int) : boolean","cascading-core/src/main/java/cascading/flow/planner/iso/finder/State.java@private debugCompatibleEdges(results Collection<Scope>, v1 int, v2 int, matchers List<ScopeExpression>) : void","[BlameRes(sha1='5527356f9ce5ae00d67155371450526cbeb6e00b', oline='212', file_name='cascading-core/src/main/java/cascading/flow/planner/iso/finder/State.java')]",
cascading,2,"('faab207df81633b358666284db8298af9ec30d71', '0d13e6bd578a927bb69e086bd1651417429301a5')",Extract Method,"cascading-core/src/main/java/cascading/flow/planner/rule/RuleTransformer.java@public transform(plannerContext PlannerContext, rootGraph ElementGraph) : Transformed<ElementGraph>","cascading-core/src/main/java/cascading/flow/planner/rule/RuleTransformer.java@public performTransform(plannerContext PlannerContext, rootGraph ElementGraph) : Transformed<ElementGraph>","[BlameRes(sha1='5527356f9ce5ae00d67155371450526cbeb6e00b', oline='56', file_name='cascading-core/src/main/java/cascading/flow/planner/rule/RuleTransformer.java')]",
cascading,2,"('faab207df81633b358666284db8298af9ec30d71', '0d13e6bd578a927bb69e086bd1651417429301a5')",Change Return Type,cascading-core/src/main/java/cascading/util/LogUtil.java@void,cascading-core/src/main/java/cascading/util/LogUtil.java@String,"[BlameRes(sha1='7c6cebdba410a387e90b3cf602f639a8d41086d7', oline='11', file_name='cascading-core/src/main/java/cascading/util/LogUtil.java')]",
cascading,2,"('c46e3bde7578119e4c09b76da1bc371f59ceb66f', 'd73098bb0b72a2a1acd5cd6cec4cdca18d5fbfc6')",Change Variable Type,cascading-core/src/main/java/cascading/flow/planner/graph/ElementGraphs.java@elementDirectedGraph : ElementDirectedGraph,cascading-core/src/main/java/cascading/flow/planner/graph/ElementGraphs.java@elementDirectedGraph : ElementMultiGraph,"[BlameRes(sha1='e24bdb9fa4df43770d8baa573fd8340d905df4ac', oline='80', file_name='cascading-core/src/main/java/cascading/flow/planner/graph/ElementGraphs.java')]",
cascading,2,"('c46e3bde7578119e4c09b76da1bc371f59ceb66f', 'd73098bb0b72a2a1acd5cd6cec4cdca18d5fbfc6')",Extract Variable,cascading-core/src/main/java/cascading/flow/planner/iso/subgraph/iterator/IncludeRemainderSubGraphIterator.java@,cascading-core/src/main/java/cascading/flow/planner/iso/subgraph/iterator/IncludeRemainderSubGraphIterator.java@edgeList : Collection<Scope>,"[BlameRes(sha1='ff1610b1c708aeabb71d81360446608b438fb656', oline='95', file_name='cascading-core/src/main/java/cascading/flow/planner/iso/subgraph/iterator/IncludeRemainderSubGraphIterator.java')]",
cascading,2,"('c46e3bde7578119e4c09b76da1bc371f59ceb66f', 'd73098bb0b72a2a1acd5cd6cec4cdca18d5fbfc6')",Add Parameter,cascading-core/src/main/java/cascading/flow/planner/iso/subgraph/iterator/IncludeRemainderSubGraphIterator.java@public IncludeRemainderSubGraphIterator(parentIterator SubGraphIterator),cascading-core/src/main/java/cascading/flow/planner/iso/subgraph/iterator/IncludeRemainderSubGraphIterator.java@multiEdge : boolean,"[BlameRes(sha1='de3c417b495ba944f4f1270e053eea813eceac3c', oline='28', file_name='cascading-core/src/main/java/cascading/flow/planner/iso/subgraph/iterator/IncludeRemainderSubGraphIterator.java')]",
cascading,2,"('c46e3bde7578119e4c09b76da1bc371f59ceb66f', 'd73098bb0b72a2a1acd5cd6cec4cdca18d5fbfc6')",Change Variable Type,cascading-core/src/main/java/cascading/flow/planner/iso/subgraph/iterator/UniquePathSubGraphIterator.java@edgeList : List<Scope>,cascading-core/src/main/java/cascading/flow/planner/iso/subgraph/iterator/UniquePathSubGraphIterator.java@edgeList : Collection<Scope>,"[BlameRes(sha1='de3c417b495ba944f4f1270e053eea813eceac3c', oline='92', file_name='cascading-core/src/main/java/cascading/flow/planner/iso/subgraph/iterator/UniquePathSubGraphIterator.java')]",
cascading,2,"('c46e3bde7578119e4c09b76da1bc371f59ceb66f', 'd73098bb0b72a2a1acd5cd6cec4cdca18d5fbfc6')",Add Parameter,"cascading-core/src/main/java/cascading/flow/planner/iso/subgraph/iterator/UniquePathSubGraphIterator.java@public UniquePathSubGraphIterator(subGraphIterator SubGraphIterator, longestFirst boolean)",cascading-core/src/main/java/cascading/flow/planner/iso/subgraph/iterator/UniquePathSubGraphIterator.java@multiEdge : boolean,"[BlameRes(sha1='ff1610b1c708aeabb71d81360446608b438fb656', oline='32', file_name='cascading-core/src/main/java/cascading/flow/planner/iso/subgraph/iterator/UniquePathSubGraphIterator.java')]",
cascading,2,"('c46e3bde7578119e4c09b76da1bc371f59ceb66f', 'd73098bb0b72a2a1acd5cd6cec4cdca18d5fbfc6')",Rename Variable,cascading-core/src/main/java/cascading/flow/planner/rule/RulePartitioner.java@partition : Partitions,cascading-core/src/main/java/cascading/flow/planner/rule/RulePartitioner.java@partitions : Partitions,"[BlameRes(sha1='3b0ffd95978d4ca3a08d623d58b098bca580a898', oline='61', file_name='cascading-core/src/main/java/cascading/flow/planner/rule/RulePartitioner.java')]",
cascading,2,"('c46e3bde7578119e4c09b76da1bc371f59ceb66f', 'd73098bb0b72a2a1acd5cd6cec4cdca18d5fbfc6')",Add Parameter,"cascading-core/src/main/java/cascading/flow/stream/duct/CloseReducingDuct.java@public receive(previous Duct, incoming Incoming) : void",cascading-core/src/main/java/cascading/flow/stream/duct/CloseReducingDuct.java@ordinal : int,"[BlameRes(sha1='6113e6883a013d3d1020e3cea1d497687b5a050e', oline='11', file_name='src/core/cascading/flow/stream/CloseReducingDuct.java')]",
cascading,2,"('c46e3bde7578119e4c09b76da1bc371f59ceb66f', 'd73098bb0b72a2a1acd5cd6cec4cdca18d5fbfc6')",Add Parameter,"cascading-core/src/main/java/cascading/flow/stream/duct/Duct.java@public abstract receive(previous Duct, incoming Incoming) : void",cascading-core/src/main/java/cascading/flow/stream/duct/Duct.java@ordinal : int,"[BlameRes(sha1='6113e6883a013d3d1020e3cea1d497687b5a050e', oline='50', file_name='src/core/cascading/flow/stream/Duct.java')]",
cascading,2,"('c46e3bde7578119e4c09b76da1bc371f59ceb66f', 'd73098bb0b72a2a1acd5cd6cec4cdca18d5fbfc6')",Encapsulate Attribute,cascading-core/src/main/java/cascading/flow/stream/duct/Fork.java@protected allNext : Duct[],cascading-core/src/main/java/cascading/flow/stream/duct/Fork.java@protected allNext : Duct[],"[BlameRes(sha1='6113e6883a013d3d1020e3cea1d497687b5a050e', oline='6', file_name='src/core/cascading/flow/stream/Fork.java')]",
cascading,2,"('c46e3bde7578119e4c09b76da1bc371f59ceb66f', 'd73098bb0b72a2a1acd5cd6cec4cdca18d5fbfc6')",Add Parameter,"cascading-core/src/main/java/cascading/flow/stream/duct/Fork.java@public receive(previous Duct, incoming Incoming) : void",cascading-core/src/main/java/cascading/flow/stream/duct/Fork.java@ordinal : int,"[BlameRes(sha1='6113e6883a013d3d1020e3cea1d497687b5a050e', oline='26', file_name='src/core/cascading/flow/stream/Fork.java')]",
cascading,2,"('c46e3bde7578119e4c09b76da1bc371f59ceb66f', 'd73098bb0b72a2a1acd5cd6cec4cdca18d5fbfc6')",Add Parameter,"cascading-core/src/main/java/cascading/flow/stream/duct/OpenDuct.java@public receive(previous Duct, grouping Grouping<Incoming,Iterator<Incoming>>) : void",cascading-core/src/main/java/cascading/flow/stream/duct/OpenDuct.java@ordinal : int,"[BlameRes(sha1='6113e6883a013d3d1020e3cea1d497687b5a050e', oline='19', file_name='src/core/cascading/flow/stream/OpenDuct.java')]",
cascading,2,"('c46e3bde7578119e4c09b76da1bc371f59ceb66f', 'd73098bb0b72a2a1acd5cd6cec4cdca18d5fbfc6')",Add Parameter,"cascading-core/src/main/java/cascading/flow/stream/duct/OpenReducingDuct.java@public receive(previous Duct, grouping Grouping<Incoming,Iterator<Incoming>>) : void",cascading-core/src/main/java/cascading/flow/stream/duct/OpenReducingDuct.java@ordinal : int,"[BlameRes(sha1='6113e6883a013d3d1020e3cea1d497687b5a050e', oline='17', file_name='src/core/cascading/flow/stream/OpenReducingDuct.java')]",
cascading,2,"('c46e3bde7578119e4c09b76da1bc371f59ceb66f', 'd73098bb0b72a2a1acd5cd6cec4cdca18d5fbfc6')",Add Parameter,"cascading-core/src/main/java/cascading/flow/stream/duct/Stage.java@public receive(previous Duct, incoming Incoming) : void",cascading-core/src/main/java/cascading/flow/stream/duct/Stage.java@ordinal : int,"[BlameRes(sha1='6113e6883a013d3d1020e3cea1d497687b5a050e', oline='6', file_name='src/core/cascading/flow/stream/Stage.java')]",
cascading,2,"('c46e3bde7578119e4c09b76da1bc371f59ceb66f', 'd73098bb0b72a2a1acd5cd6cec4cdca18d5fbfc6')",Add Parameter,"cascading-core/src/main/java/cascading/flow/stream/element/AggregatorEveryStage.java@public receive(previous Duct, tupleEntry TupleEntry) : void",cascading-core/src/main/java/cascading/flow/stream/element/AggregatorEveryStage.java@ordinal : int,"[BlameRes(sha1='6113e6883a013d3d1020e3cea1d497687b5a050e', oline='86', file_name='src/core/cascading/flow/stream/AggregatorEveryStage.java')]",
cascading,2,"('c46e3bde7578119e4c09b76da1bc371f59ceb66f', 'd73098bb0b72a2a1acd5cd6cec4cdca18d5fbfc6')",Add Parameter,"cascading-core/src/main/java/cascading/flow/stream/element/BufferEveryWindow.java@public receive(previous Duct, grouping Grouping<TupleEntry,TupleEntryIterator>) : void",cascading-core/src/main/java/cascading/flow/stream/element/BufferEveryWindow.java@ordinal : int,"[BlameRes(sha1='6113e6883a013d3d1020e3cea1d497687b5a050e', oline='68', file_name='src/core/cascading/flow/stream/BufferEveryWindow.java')]",
cascading,2,"('c46e3bde7578119e4c09b76da1bc371f59ceb66f', 'd73098bb0b72a2a1acd5cd6cec4cdca18d5fbfc6')",Add Parameter,"cascading-core/src/main/java/cascading/flow/stream/element/FilterEachStage.java@public receive(previous Duct, incomingEntry TupleEntry) : void",cascading-core/src/main/java/cascading/flow/stream/element/FilterEachStage.java@ordinal : int,"[BlameRes(sha1='6113e6883a013d3d1020e3cea1d497687b5a050e', oline='28', file_name='src/core/cascading/flow/stream/FilterEachStage.java')]",
cascading,2,"('c46e3bde7578119e4c09b76da1bc371f59ceb66f', 'd73098bb0b72a2a1acd5cd6cec4cdca18d5fbfc6')",Add Parameter,"cascading-core/src/main/java/cascading/flow/stream/element/FunctionEachStage.java@public receive(previous Duct, incomingEntry TupleEntry) : void",cascading-core/src/main/java/cascading/flow/stream/element/FunctionEachStage.java@ordinal : int,"[BlameRes(sha1='6113e6883a013d3d1020e3cea1d497687b5a050e', oline='55', file_name='src/core/cascading/flow/stream/FunctionEachStage.java')]",
cascading,2,"('c46e3bde7578119e4c09b76da1bc371f59ceb66f', 'd73098bb0b72a2a1acd5cd6cec4cdca18d5fbfc6')",Add Parameter,"cascading-core/src/main/java/cascading/flow/stream/element/GroupAssertionEveryStage.java@public receive(previous Duct, tupleEntry TupleEntry) : void",cascading-core/src/main/java/cascading/flow/stream/element/GroupAssertionEveryStage.java@ordinal : int,"[BlameRes(sha1='6113e6883a013d3d1020e3cea1d497687b5a050e', oline='61', file_name='src/core/cascading/flow/stream/GroupAssertionEveryStage.java')]",
cascading,2,"('c46e3bde7578119e4c09b76da1bc371f59ceb66f', 'd73098bb0b72a2a1acd5cd6cec4cdca18d5fbfc6')",Parameterize Variable,cascading-core/src/main/java/cascading/flow/stream/element/MemoryCoGroupGate.java@pos : int,cascading-core/src/main/java/cascading/flow/stream/element/MemoryCoGroupGate.java@ordinal : int,"[BlameRes(sha1='cc338d993526708a6b28e2ff27a7d241c61cf6b5', oline='37', file_name='cascading-core/src/main/java/cascading/flow/stream/MemoryCoGroupGate.java')]",
cascading,2,"('c46e3bde7578119e4c09b76da1bc371f59ceb66f', 'd73098bb0b72a2a1acd5cd6cec4cdca18d5fbfc6')",Parameterize Variable,cascading-core/src/main/java/cascading/flow/stream/element/MemoryHashJoinGate.java@pos : int,cascading-core/src/main/java/cascading/flow/stream/element/MemoryHashJoinGate.java@ordinal : int,"[BlameRes(sha1='cc338d993526708a6b28e2ff27a7d241c61cf6b5', oline='56', file_name='cascading-core/src/main/java/cascading/flow/stream/MemoryHashJoinGate.java')]",
cascading,2,"('c46e3bde7578119e4c09b76da1bc371f59ceb66f', 'd73098bb0b72a2a1acd5cd6cec4cdca18d5fbfc6')",Add Parameter,"cascading-core/src/main/java/cascading/flow/stream/element/SinkStage.java@public receive(previous Duct, tupleEntry TupleEntry) : void",cascading-core/src/main/java/cascading/flow/stream/element/SinkStage.java@ordinal : int,"[BlameRes(sha1='6113e6883a013d3d1020e3cea1d497687b5a050e', oline='51', file_name='src/core/cascading/flow/stream/SinkStage.java')]",
