Repository,Granularity level,fine-grained commits,CGR type,CGR left,CGR right,CGR traced location,Cause
helios,2,"('8a301556981c4319203bb6e8ee9e01fc358dc191', '226166567ca2065b5ea801def903163591ebb9f0')",Extract Method,"helios-services/src/main/java/com/spotify/helios/master/ZooKeeperMasterModel.java@public updateDeploymentGroupHosts(groupName String, hosts List<String>) : void",helios-services/src/main/java/com/spotify/helios/master/ZooKeeperMasterModel.java@private allowHostChange(status DeploymentGroupStatus) : boolean,"[BlameRes(sha1='0a701897a92d6dd5ac80586e82204bb958a7e0a0', oline='383', file_name='helios-services/src/main/java/com/spotify/helios/master/ZooKeeperMasterModel.java')]",
helios,2,"('8a301556981c4319203bb6e8ee9e01fc358dc191', '226166567ca2065b5ea801def903163591ebb9f0')",Rename Variable,helios-services/src/main/java/com/spotify/helios/master/ZooKeeperMasterModel.java@deploymentGroupStatus : DeploymentGroupStatus,helios-services/src/main/java/com/spotify/helios/master/ZooKeeperMasterModel.java@status : DeploymentGroupStatus,"[BlameRes(sha1='cdfb5c77f95fed04154eedb60aa15a040897b404', oline='367', file_name='helios-services/src/main/java/com/spotify/helios/master/ZooKeeperMasterModel.java')]",
helios,2,"('68fbec834d0f96b7133d7a3a475e95f04a1ccaea', '9746a9e0799165d5009468329981c95789a7fcab')",Add Attribute Modifier,helios-integration-tests/src/test/java/com/spotify/helios/HeliosSoloHealthchecksIT.java@public solo : HeliosDeploymentResource,helios-integration-tests/src/test/java/com/spotify/helios/HeliosSoloIT.java@public solo : HeliosDeploymentResource,"[BlameRes(sha1='8e1208f867dc59bbe714e65e3eadd03a594e2f9d', oline='17', file_name='helios-integration-tests/src/test/java/com/spotify/helios/HeliosSoloHealthchecksIT.java')]",C
helios,2,"('68fbec834d0f96b7133d7a3a475e95f04a1ccaea', '9746a9e0799165d5009468329981c95789a7fcab')",Add Attribute Annotation,helios-integration-tests/src/test/java/com/spotify/helios/HeliosSoloHealthchecksIT.java@public solo : HeliosDeploymentResource,helios-integration-tests/src/test/java/com/spotify/helios/HeliosSoloIT.java@@ClassRule,"[BlameRes(sha1='8e1208f867dc59bbe714e65e3eadd03a594e2f9d', oline='17', file_name='helios-integration-tests/src/test/java/com/spotify/helios/HeliosSoloHealthchecksIT.java')]",
helios,2,"('68fbec834d0f96b7133d7a3a475e95f04a1ccaea', '9746a9e0799165d5009468329981c95789a7fcab')",Remove Attribute Annotation,helios-integration-tests/src/test/java/com/spotify/helios/HeliosSoloHealthchecksIT.java@@Rule,helios-integration-tests/src/test/java/com/spotify/helios/HeliosSoloIT.java@public solo : HeliosDeploymentResource,"[BlameRes(sha1='8e1208f867dc59bbe714e65e3eadd03a594e2f9d', oline='16', file_name='helios-integration-tests/src/test/java/com/spotify/helios/HeliosSoloHealthchecksIT.java')]",
helios,2,"('f2ffa007258a51e144e39f67b2c91c8f9e004975', 'b24d98ab1d89bd5bf2c00db7f0499964c4a1d3a2')",Move And Rename Method,helios-integration-tests/src/test/java/com/spotify/helios/HeliosSoloIT.java@public test() : void,helios-integration-tests/src/test/java/com/spotify/helios/HeliosSoloServiceDiscoveryIT.java@public testServiceDiscovery() : void,"[BlameRes(sha1='dfe7a04f2e8039bb325e16b1e8d668c1749d6d53', oline='138', file_name='helios-integration-tests/src/test/java/com/spotify/helios/HeliosSoloIT.java')]",
helios,2,"('45e0f38a6ddb36edca2098c15f6b3d2033223f20', '1425e10921c628b88249f97ed5ba029236186622')",Move Class,helios-authentication/src/test/java/com/spotify/helios/auth/basic/BasicServerAuthenticationTest.java@com.spotify.helios.auth.basic.BasicServerAuthenticationTest.StatusCodeMatcher,helios-authentication/src/test/java/com/spotify/helios/auth/AuthInjectableProviderTest.java@com.spotify.helios.auth.AuthInjectableProviderTest.StatusCodeMatcher,"[BlameRes(sha1='f6c418fd063a088202715021f274421658f721be', oline='100', file_name='helios-authentication/src/test/java/com/spotify/helios/auth/basic/BasicServerAuthenticationTest.java')]",
helios,2,"('45e0f38a6ddb36edca2098c15f6b3d2033223f20', '1425e10921c628b88249f97ed5ba029236186622')",Merge Class,helios-authentication/src/test/java/com/spotify/helios/auth/basic/BasicServerAuthenticationTest.java@com.spotify.helios.auth.basic.BasicServerAuthenticationTest,helios-authentication/src/test/java/com/spotify/helios/auth/AuthInjectableProviderTest.java@com.spotify.helios.auth.AuthInjectableProviderTest,"[BlameRes(sha1='f6c418fd063a088202715021f274421658f721be', oline='33', file_name='helios-authentication/src/test/java/com/spotify/helios/auth/basic/BasicServerAuthenticationTest.java')]",
helios,2,"('45e0f38a6ddb36edca2098c15f6b3d2033223f20', '1425e10921c628b88249f97ed5ba029236186622')",Move Method,helios-authentication/src/test/java/com/spotify/helios/auth/basic/BasicServerAuthenticationTest.java@public authenticationNotRequired_NoCredentials() : void,helios-authentication/src/test/java/com/spotify/helios/auth/AuthInjectableProviderTest.java@public authenticationNotRequired_NoCredentials() : void,"[BlameRes(sha1='f6c418fd063a088202715021f274421658f721be', oline='71', file_name='helios-authentication/src/test/java/com/spotify/helios/auth/basic/BasicServerAuthenticationTest.java')]",
helios,2,"('45e0f38a6ddb36edca2098c15f6b3d2033223f20', '1425e10921c628b88249f97ed5ba029236186622')",Remove Thrown Exception Type,helios-authentication/src/test/java/com/spotify/helios/auth/basic/BasicServerAuthenticationTest.java@Exception,helios-authentication/src/test/java/com/spotify/helios/auth/AuthInjectableProviderTest.java@public authenticationNotRequired_NoCredentials() : void,"[BlameRes(sha1='f6c418fd063a088202715021f274421658f721be', oline='72', file_name='helios-authentication/src/test/java/com/spotify/helios/auth/basic/BasicServerAuthenticationTest.java')]",
