Repository,Granularity level,fine-grained commits,CGR type,CGR left,CGR right,CGR traced location,Cause
jfinal,2,"('d26c761a0d03bced354ef4db763ca004aa51f387', '15621441f1479c990d28775558334749bcb8b53d')",Extract Interface,src/main/java/com/jfinal/plugin/activerecord/Model.java@com.jfinal.plugin.activerecord.Model,src/main/java/com/jfinal/plugin/activerecord/Model.java@com.jfinal.plugin.activerecord.Model,"[BlameRes(sha1='4f135f59a241ffb3219dc000fbbfb1ea22ed4c6f', oline='21', file_name='jfinal/src/com/jfinal/plugin/activerecord/Model.java')]",
jfinal,2,"('f9df0a16ae66939541e05b12c032c27de9917f21', 'd2c4ac8b10ddaa6f8215618742aa7eeba78841c9')",Rename Parameter,src/main/java/com/jfinal/template/expr/ast/MethodKit.java@extensionClass : Class<?>,src/main/java/com/jfinal/kit/ReflectKit.java@clazz : Class<?>,"[BlameRes(sha1='98fddd40424bfe6fc10127bb24d116094ffccbf1', oline='257', file_name='src/main/java/com/jfinal/template/expr/ast/MethodKit.java')]",G
jfinal,2,"('f9df0a16ae66939541e05b12c032c27de9917f21', 'd2c4ac8b10ddaa6f8215618742aa7eeba78841c9')",Change Method Access Modifier,src/main/java/com/jfinal/template/expr/ast/MethodKit.java@private newExtensionObject(extensionClass Class<?>) : Object,src/main/java/com/jfinal/kit/ReflectKit.java@public newInstance(clazz Class<?>) : Object,"[BlameRes(sha1='98fddd40424bfe6fc10127bb24d116094ffccbf1', oline='257', file_name='src/main/java/com/jfinal/template/expr/ast/MethodKit.java')]",G
jfinal,2,"('f9df0a16ae66939541e05b12c032c27de9917f21', 'd2c4ac8b10ddaa6f8215618742aa7eeba78841c9')",Move And Rename Method,src/main/java/com/jfinal/template/expr/ast/MethodKit.java@private newExtensionObject(extensionClass Class<?>) : Object,src/main/java/com/jfinal/kit/ReflectKit.java@public newInstance(clazz Class<?>) : Object,"[BlameRes(sha1='98fddd40424bfe6fc10127bb24d116094ffccbf1', oline='257', file_name='src/main/java/com/jfinal/template/expr/ast/MethodKit.java')]",G
jfinal,2,"('19df9cf107c03e448965c25ff0fd67ac8db2a46d', '64eaf16d6e38b1663d8991e79f818b308b9de86c')",Change Class Access Modifier,src/com/jfinal/plugin/activerecord/CaseInsensitiveMapFactory.java@com.jfinal.plugin.activerecord.CaseInsensitiveMap,src/com/jfinal/plugin/activerecord/CaseInsensitiveContainerFactory.java@com.jfinal.plugin.activerecord.CaseInsensitiveContainerFactory.CaseInsensitiveMap,"[BlameRes(sha1='d385185bf15495ea16308b2d73a4868b537f1d39', oline='19', file_name='src/com/jfinal/plugin/activerecord/CaseInsensitiveMapFactory.java')]",
jfinal,2,"('19df9cf107c03e448965c25ff0fd67ac8db2a46d', '64eaf16d6e38b1663d8991e79f818b308b9de86c')",Add Class Modifier,src/com/jfinal/plugin/activerecord/CaseInsensitiveMapFactory.java@com.jfinal.plugin.activerecord.CaseInsensitiveMap,src/com/jfinal/plugin/activerecord/CaseInsensitiveContainerFactory.java@com.jfinal.plugin.activerecord.CaseInsensitiveContainerFactory.CaseInsensitiveMap,"[BlameRes(sha1='d385185bf15495ea16308b2d73a4868b537f1d39', oline='19', file_name='src/com/jfinal/plugin/activerecord/CaseInsensitiveMapFactory.java')]",
jfinal,2,"('e31e4c714777a70ef58f700e903c864681832fe9', '0cf891403dee90328ffb5b4f1b1c90379c062ac3')",Change Method Access Modifier,"src/main/java/com/jfinal/plugin/activerecord/DbPro.java@private getGeneratedKey(pst PreparedStatement, record Record, pKeys String[]) : void","src/main/java/com/jfinal/plugin/activerecord/dialect/PostgreSqlDialect.java@public getRecordGeneratedKey(pst PreparedStatement, record Record, pKeys String[]) : void","[BlameRes(sha1='38a252ea36261c4aab2b45347916e73298ebe430', oline='370', file_name='src/com/jfinal/plugin/activerecord/DbPro.java')]",
jfinal,2,"('e31e4c714777a70ef58f700e903c864681832fe9', '0cf891403dee90328ffb5b4f1b1c90379c062ac3')",Move And Rename Method,"src/main/java/com/jfinal/plugin/activerecord/DbPro.java@private getGeneratedKey(pst PreparedStatement, record Record, pKeys String[]) : void","src/main/java/com/jfinal/plugin/activerecord/dialect/PostgreSqlDialect.java@public getRecordGeneratedKey(pst PreparedStatement, record Record, pKeys String[]) : void","[BlameRes(sha1='38a252ea36261c4aab2b45347916e73298ebe430', oline='370', file_name='src/com/jfinal/plugin/activerecord/DbPro.java')]",
jfinal,2,"('0b5c7246cce4b9b43f0617a132b849bf0dac3523', 'f5fa8f4ce132664eed62c8504753c09e0cbc9ea5')",Change Variable Type,src/main/java/com/jfinal/plugin/activerecord/Model.java@colType : Class,src/main/java/com/jfinal/plugin/activerecord/dialect/Dialect.java@colType : Class<?>,"[BlameRes(sha1='38a252ea36261c4aab2b45347916e73298ebe430', oline='252', file_name='src/com/jfinal/plugin/activerecord/Model.java')]",
jfinal,2,"('0b5c7246cce4b9b43f0617a132b849bf0dac3523', 'f5fa8f4ce132664eed62c8504753c09e0cbc9ea5')",Add Parameter,"src/main/java/com/jfinal/plugin/activerecord/Model.java@private getGeneratedKey(pst PreparedStatement, table Table, config Config) : void",src/main/java/com/jfinal/plugin/activerecord/dialect/Dialect.java@model : Model<?>,"[BlameRes(sha1='38a252ea36261c4aab2b45347916e73298ebe430', oline='246', file_name='src/com/jfinal/plugin/activerecord/Model.java')]",
