Repository,Granularity level,fine-grained commits,CGR type,CGR left,CGR right,CGR traced location,Cause,
sshj,2,"('3cd638d3c853c4a2f308eae498cd1c03c74a5810', 'ce920df4f631b431c3a2ece11d7ddcdf40049eb3')",Move Attribute,src/main/java/net/schmizz/sshj/sftp/SFTPClient.java@private pathHelper : PathHelper,src/main/java/net/schmizz/sshj/sftp/SFTPEngine.java@protected pathHelper : PathHelper,"[BlameRes(sha1='1c032ea6e0093990d43ee464b2248ad7e73a2e58', oline='20', file_name='src/main/java/net/schmizz/sshj/sftp/SFTPClient.java')]",,
sshj,2,"('3cd638d3c853c4a2f308eae498cd1c03c74a5810', 'ce920df4f631b431c3a2ece11d7ddcdf40049eb3')",Change Attribute Access Modifier,src/main/java/net/schmizz/sshj/sftp/SFTPClient.java@private pathHelper : PathHelper,src/main/java/net/schmizz/sshj/sftp/SFTPEngine.java@protected pathHelper : PathHelper,"[BlameRes(sha1='1c032ea6e0093990d43ee464b2248ad7e73a2e58', oline='20', file_name='src/main/java/net/schmizz/sshj/sftp/SFTPClient.java')]",,
sshj,2,"('ff8c98963643ea109cc64a13e5bfd2e0f6a4d949', 'f96e6475c434a9f6b399ea5ca22ee2a4222ee723')",Rename Method,"src/main/java/net/schmizz/sshj/signature/AbstractSignature.java@public init(publicKey PublicKey, privateKey PrivateKey) : void",src/main/java/net/schmizz/sshj/signature/AbstractSignature.java@public initSign(privateKey PrivateKey) : void,"[BlameRes(sha1='7e12cc8a8f6284130f0037ae46c329797a5fd955', oline='21', file_name='src/main/java/net/schmizz/sshj/signature/AbstractSignature.java')]",,
sshj,2,"('ff8c98963643ea109cc64a13e5bfd2e0f6a4d949', 'f96e6475c434a9f6b399ea5ca22ee2a4222ee723')",Remove Parameter,src/main/java/net/schmizz/sshj/signature/AbstractSignature.java@publicKey : PublicKey,src/main/java/net/schmizz/sshj/signature/AbstractSignature.java@public initSign(privateKey PrivateKey) : void,"[BlameRes(sha1='499d1ebf786fc5fe6b9000de09d3fac7b41bf542', oline='21', file_name='src/main/java/net/schmizz/sshj/signature/AbstractSignature.java')]",,
sshj,2,"('ff8c98963643ea109cc64a13e5bfd2e0f6a4d949', 'f96e6475c434a9f6b399ea5ca22ee2a4222ee723')",Rename Method,"src/main/java/com/hierynomus/sshj/signature/SignatureEdDSA.java@public init(pubkey PublicKey, prvkey PrivateKey) : void",src/main/java/com/hierynomus/sshj/signature/SignatureEdDSA.java@public initSign(prvkey PrivateKey) : void,"[BlameRes(sha1='714f52d62e8c5c811a43f79a208ead736f4c38f0', oline='35', file_name='src/main/java/com/hierynomus/sshj/signature/SignatureEdDSA.java')]",,
sshj,2,"('ff8c98963643ea109cc64a13e5bfd2e0f6a4d949', 'f96e6475c434a9f6b399ea5ca22ee2a4222ee723')",Remove Parameter,src/main/java/com/hierynomus/sshj/signature/SignatureEdDSA.java@pubkey : PublicKey,src/main/java/com/hierynomus/sshj/signature/SignatureEdDSA.java@public initSign(prvkey PrivateKey) : void,"[BlameRes(sha1='714f52d62e8c5c811a43f79a208ead736f4c38f0', oline='36', file_name='src/main/java/com/hierynomus/sshj/signature/SignatureEdDSA.java')]",,
sshj,2,"('ff8c98963643ea109cc64a13e5bfd2e0f6a4d949', 'f96e6475c434a9f6b399ea5ca22ee2a4222ee723')",Rename Method,"src/main/java/net/schmizz/sshj/signature/Signature.java@public init(pubkey PublicKey, prvkey PrivateKey) : void",src/main/java/net/schmizz/sshj/signature/Signature.java@public initSign(prvkey PrivateKey) : void,"[BlameRes(sha1='9907e481784e20d8344858c75c9c8dd81b56c2d7', oline='8', file_name='src/main/java/net/schmizz/sshj/signature/Signature.java')]",,
sshj,2,"('ff8c98963643ea109cc64a13e5bfd2e0f6a4d949', 'f96e6475c434a9f6b399ea5ca22ee2a4222ee723')",Remove Parameter,src/main/java/net/schmizz/sshj/signature/Signature.java@pubkey : PublicKey,src/main/java/net/schmizz/sshj/signature/Signature.java@public initSign(prvkey PrivateKey) : void,"[BlameRes(sha1='9907e481784e20d8344858c75c9c8dd81b56c2d7', oline='8', file_name='src/main/java/net/schmizz/sshj/signature/Signature.java')]",,
sshj,2,"('f03832ed403d8fa1d05005c0ed84fc3ac400d125', 'cfb1ef9383659a9ffaa46acd0fe6b0290bdf5460')",Rename Method,src/main/java/net/schmizz/sshj/connection/Connection.java@public getTimeout() : int,src/main/java/net/schmizz/sshj/connection/Connection.java@public getTimeoutMs() : int,"[BlameRes(sha1='9907e481784e20d8344858c75c9c8dd81b56c2d7', oline='45', file_name='src/main/java/net/schmizz/sshj/connection/Connection.java')]",X,
sshj,2,"('f03832ed403d8fa1d05005c0ed84fc3ac400d125', 'cfb1ef9383659a9ffaa46acd0fe6b0290bdf5460')",Rename Method,src/main/java/net/schmizz/sshj/connection/Connection.java@public setTimeout(timeout int) : void,src/main/java/net/schmizz/sshj/connection/Connection.java@public setTimeoutMs(timeout int) : void,"[BlameRes(sha1='9907e481784e20d8344858c75c9c8dd81b56c2d7', oline='47', file_name='src/main/java/net/schmizz/sshj/connection/Connection.java')]",X,
