Repository,Granularity level,fine-grained commits,CGR type,CGR left,CGR right,CGR traced location,Cause
cascading,2,"('81a6e237f9bd488d7b9e9aa585988757ee700f90', '2369abeab84a2f54acb381304fc1d249b7339037')",Add Parameter,"cascading-nested/src/main/java/cascading/nested/core/NestedGetAllAggregateFunction.java@public NestedGetAllAggregateFunction(nestedCoercibleType NestedCoercibleType<Node,Result>, stringRootPointer String, failOnMissingNode boolean, pointerMap Map<String,NestedAggregateFunction<Node,?>>)","cascading-nested/src/main/java/cascading/nested/core/NestedGetAllAggregateFunction.java@streamWrapper : SerFunction<Stream<Node>,Stream<Node>>","[BlameRes(sha1='5ae11c85e7082ab1d05b467784fbbc78e9c7e3af', oline='24', file_name='cascading-nested/src/main/java/cascading/nested/core/NestedGetAllAggregateFunction.java')]"
cascading,2,"('59996a6951b616b4fac5b343cd57ea7343474b93', '542c19e5e0973069b254593429450f172f06c944')",Rename Method,cascading-nested-json/src/main/java/cascading/nested/json/JSONCoercibleType.java@private write(value Object) : String,cascading-nested-json/src/main/java/cascading/nested/json/JSONCoercibleType.java@private textOrWrite(value JsonNode) : String,"[BlameRes(sha1='abb98da18c813b002b758c42c80a9d07999b2244', oline='130', file_name='cascading-nested-json/src/main/java/cascading/nested/json/JSONCoercibleType.java')]"
cascading,2,"('59996a6951b616b4fac5b343cd57ea7343474b93', '542c19e5e0973069b254593429450f172f06c944')",Extract Method,cascading-nested-json/src/main/java/cascading/nested/json/JSONCoercibleType.java@private write(value Object) : String,cascading-nested-json/src/main/java/cascading/nested/json/JSONCoercibleType.java@private write(value JsonNode) : String,"[BlameRes(sha1='abb98da18c813b002b758c42c80a9d07999b2244', oline='130', file_name='cascading-nested-json/src/main/java/cascading/nested/json/JSONCoercibleType.java')]"
cascading,2,"('2672c9e052878228666773b2369411ab24ba6932', '77fc94656e449ab784372a707b0e8392fc91b973')",Move And Rename Class,cascading-hadoop/src/test/java/cascading/test/HadoopPlatform.java@cascading.test.HadoopPlatform,cascading-hadoop2-tez/src/main/java/cascading/stats/tez/TezNodeStats.java@cascading.stats.tez.TezNodeStats.Kind,"[BlameRes(sha1='2ccb364a2df082189df2db1f375550f046fa8f4f', oline='4', file_name='cascading-hadoop/src/test/java/cascading/test/HadoopPlatform.java')]"
cascading,2,"('2672c9e052878228666773b2369411ab24ba6932', '77fc94656e449ab784372a707b0e8392fc91b973')",Move Package,cascading-hadoop/src/test/java/cascading/test/HadoopPlatform.java@cascading.test.HadoopPlatform,cascading-hadoop2-tez/src/main/java/cascading/stats/tez/TezNodeStats.java@cascading.stats.tez.TezNodeStats.Kind,"[BlameRes(sha1='2ccb364a2df082189df2db1f375550f046fa8f4f', oline='4', file_name='cascading-hadoop/src/test/java/cascading/test/HadoopPlatform.java')]"
cascading,2,"('2672c9e052878228666773b2369411ab24ba6932', '77fc94656e449ab784372a707b0e8392fc91b973')",Add Class Modifier,cascading-hadoop/src/test/java/cascading/test/HadoopPlatform.java@cascading.test.HadoopPlatform,cascading-hadoop2-tez/src/main/java/cascading/stats/tez/TezNodeStats.java@cascading.stats.tez.TezNodeStats.Kind,"[BlameRes(sha1='2ccb364a2df082189df2db1f375550f046fa8f4f', oline='4', file_name='cascading-hadoop/src/test/java/cascading/test/HadoopPlatform.java')]"
cascading,2,"('2672c9e052878228666773b2369411ab24ba6932', '77fc94656e449ab784372a707b0e8392fc91b973')",Remove Class Annotation,cascading-hadoop/src/test/java/cascading/test/HadoopPlatform.java@@Deprecated,cascading-hadoop2-tez/src/main/java/cascading/stats/tez/TezNodeStats.java@cascading.stats.tez.TezNodeStats.Kind,"[BlameRes(sha1='2ccb364a2df082189df2db1f375550f046fa8f4f', oline='4', file_name='cascading-hadoop/src/test/java/cascading/test/HadoopPlatform.java')]"
cascading,2,"('2672c9e052878228666773b2369411ab24ba6932', '77fc94656e449ab784372a707b0e8392fc91b973')",Change Type Declaration Kind,cascading-hadoop/src/test/java/cascading/test/HadoopPlatform.java@cascading.test.HadoopPlatform,cascading-hadoop2-tez/src/main/java/cascading/stats/tez/TezNodeStats.java@cascading.stats.tez.TezNodeStats.Kind,"[BlameRes(sha1='2ccb364a2df082189df2db1f375550f046fa8f4f', oline='4', file_name='cascading-hadoop/src/test/java/cascading/test/HadoopPlatform.java')]"
cascading,2,"('5fc9e05e443711db139f884a8f9f1c6ad48711f5', 'ff3479ad95a961d9dfc5c6cbd2908c94d6e67cc2')",Extract And Move Method,cascading-core/src/main/java/cascading/flow/planner/BaseFlowStep.java@public logWarn(message String) : void,"cascading-core/src/main/java/cascading/flow/BaseFlow.java@public logWarn(message String, arguments Object...) : void","[BlameRes(sha1='6113e6883a013d3d1020e3cea1d497687b5a050e', oline='363', file_name='src/core/cascading/flow/planner/FlowStep.java')]"
cascading,2,"('5fc9e05e443711db139f884a8f9f1c6ad48711f5', 'ff3479ad95a961d9dfc5c6cbd2908c94d6e67cc2')",Extract And Move Method,"cascading-core/src/main/java/cascading/flow/planner/BaseFlowStep.java@public logWarn(message String, throwable Throwable) : void","cascading-core/src/main/java/cascading/flow/BaseFlow.java@public logWarn(message String, arguments Object...) : void","[BlameRes(sha1='6113e6883a013d3d1020e3cea1d497687b5a050e', oline='368', file_name='src/core/cascading/flow/planner/FlowStep.java')]"
cascading,2,"('750f19ae2342bd5feec5378d83bff1ee37e56f5f', '6ba8af16e61da85c90b029530e2707371bb17118')",Move Class,cascading-core/src/main/java/cascading/flow/planner/rule/expressiongraph/NoGroupMergeBoundaryTapExpressionGraph.java@cascading.flow.planner.rule.expressiongraph.NoGroupMergeBoundaryTapExpressionGraph,cascading-hadoop2-tez/src/main/java/cascading/flow/tez/planner/rule/expressiongraph/NoGroupMergeBoundaryTapExpressionGraph.java@cascading.flow.tez.planner.rule.expressiongraph.NoGroupMergeBoundaryTapExpressionGraph,"[BlameRes(sha1='9ebfb5f3898654c88da5cd1f01e786a6354660fc', oline='13', file_name='cascading-core/src/main/java/cascading/flow/planner/iso/expression/NoGroupMergeBoundaryTapExpressionGraph.java')]"
cascading,2,"('6928ee420ebee301df6fa3241a5c114a51aaf7bc', '8551e881c2c894374c012b016a2888b689397f82')",Extract Interface,src/core/cascading/flow/stream/MergeStage.java@cascading.flow.stream.MergeStage,src/core/cascading/flow/stream/MergeStage.java@cascading.flow.stream.MergeStage,"[BlameRes(sha1='ae0a3b3074018c0a4c77315ddc638b37c7214795', oline='8', file_name='src/core/cascading/flow/stream/MergeStage.java')]"
cascading,2,"('0733d8ff79cd102d8f2fac626358823104d39b73', 'a8b5a9fe6a032ad856f9ba828f9458dd703e1933')",Add Parameter,"src/core/cascading/flow/stream/GroupGate.java@public GroupGate(flowProcess FlowProcess, group Group)",src/core/cascading/flow/stream/SpliceGate.java@splice : Splice,"[BlameRes(sha1='6113e6883a013d3d1020e3cea1d497687b5a050e', oline='47', file_name='src/core/cascading/flow/stream/GroupGate.java')]"
cascading,2,"('0733d8ff79cd102d8f2fac626358823104d39b73', 'a8b5a9fe6a032ad856f9ba828f9458dd703e1933')",Add Parameter,"src/core/cascading/flow/stream/GroupGate.java@public GroupGate(flowProcess FlowProcess, group Group)",src/core/cascading/flow/stream/SpliceGate.java@role : Role,"[BlameRes(sha1='6113e6883a013d3d1020e3cea1d497687b5a050e', oline='47', file_name='src/core/cascading/flow/stream/GroupGate.java')]"
