baasbox
Repository,Granularity level,fine-grained commits,CGR type,CGR left,CGR right,CGR traced location,Cause,
baasbox,2,"('90bbac06f9fd727654593d26dd1f52478f3f351b', 'bba3c5366e1633c61547b3b9f89db730787280a4')",Rename Attribute,app/com/baasbox/controllers/CustomHttpCode.java@PUSH_PROFILE_ARRAY_EXCEPTION : CustomHttpCode,app/com/baasbox/controllers/CustomHttpCode.java@PUSH_PROFILE_FORMAT_INVALID : CustomHttpCode,"[BlameRes(sha1='5867c2256604c6cdcba5c20946c3ca055c582ff9', oline='18', file_name='app/com/baasbox/controllers/CustomHttpCode.java')]",G,not explicit
baasbox,2,"('572f72377ec96ab4947033883d925e9d8cdcbc6d', 'f9dd3effcc9c0d65010d11bc0929a418105d0bc7')",Rename Method,"app/com/baasbox/configuration/PushProfile.java@public PushProfile(iprofileName String, iPush Push)","app/com/baasbox/configuration/PushProfile.java@public addElement(iprofileName String, iPush Push) : void","[BlameRes(sha1='31aa76895653ebb697915172b8fd7dab4c71b3b5', oline='23', file_name='app/com/baasbox/configuration/PushProfile.java')]",,
baasbox,2,"('572f72377ec96ab4947033883d925e9d8cdcbc6d', 'f9dd3effcc9c0d65010d11bc0929a418105d0bc7')",Add Method Modifier,"app/com/baasbox/configuration/PushProfile.java@public PushProfile(iprofileName String, iPush Push)","app/com/baasbox/configuration/PushProfile.java@public addElement(iprofileName String, iPush Push) : void","[BlameRes(sha1='31aa76895653ebb697915172b8fd7dab4c71b3b5', oline='23', file_name='app/com/baasbox/configuration/PushProfile.java')]",,
baasbox,2,"('3e2c831ad0751cf43f3250149a22fc24f8fea4cb', '9690794a0cfb58604a85742ae44aece111b98889')",Extract And Move Method,app/com/baasbox/controllers/Social.java@public loginWith(socialNetwork String) : Result,app/com/baasbox/service/sociallogin/FacebookLoginService.java@public getPrefix() : String,"[BlameRes(sha1='e750112edabf6707144b4815e5f5b938a1d18d89', oline='57', file_name='app/com/baasbox/controllers/Social.java')]",,
baasbox,2,"('3e2c831ad0751cf43f3250149a22fc24f8fea4cb', '9690794a0cfb58604a85742ae44aece111b98889')",Extract And Move Method,app/com/baasbox/controllers/Social.java@public loginWith(socialNetwork String) : Result,app/com/baasbox/service/sociallogin/UserInfo.java@public setGeneratedUsername(generatedUsername boolean) : void,"[BlameRes(sha1='e750112edabf6707144b4815e5f5b938a1d18d89', oline='57', file_name='app/com/baasbox/controllers/Social.java')]",,
baasbox,2,"('9c174757cf1a9ca033847c8bf39811274058e8f7', '79c123683ac36392da776cc1df4b970b757bfabe')",Rename Method,test/RoleFunctionalTest.java@public getRouteForObjects() : String,test/RoleFunctionalTest.java@public getFakeUserAddress() : String,"[BlameRes(sha1='e4fb70f394fb6f014ecaab314c61c4fdaac4eda4', oline='51', file_name='test/RoleFunctionalTest.java')]",,
baasbox,2,"('9c174757cf1a9ca033847c8bf39811274058e8f7', '79c123683ac36392da776cc1df4b970b757bfabe')",Rename Method,test/RoleFunctionalTest.java@public testDropCollectionCreate() : void,test/RoleFunctionalTest.java@public testRoleCreate() : void,"[BlameRes(sha1='e4fb70f394fb6f014ecaab314c61c4fdaac4eda4', oline='61', file_name='test/RoleFunctionalTest.java')]",,
baasbox,2,"('9c174757cf1a9ca033847c8bf39811274058e8f7', '79c123683ac36392da776cc1df4b970b757bfabe')",Rename Variable,test/RoleFunctionalTest.java@sFakeCollection : String,test/RoleFunctionalTest.java@sFakeRole : String,"[BlameRes(sha1='e4fb70f394fb6f014ecaab314c61c4fdaac4eda4', oline='69', file_name='test/RoleFunctionalTest.java')]",,
baasbox,2,"('9c174757cf1a9ca033847c8bf39811274058e8f7', '79c123683ac36392da776cc1df4b970b757bfabe')",Rename Variable,test/RoleFunctionalTest.java@sFakeCollectionCount : String,test/RoleFunctionalTest.java@sFakeCheckUser : String,"[BlameRes(sha1='e4fb70f394fb6f014ecaab314c61c4fdaac4eda4', oline='88', file_name='test/RoleFunctionalTest.java')]",,
baasbox,2,"('9c174757cf1a9ca033847c8bf39811274058e8f7', '79c123683ac36392da776cc1df4b970b757bfabe')",Extract Variable,test/RoleFunctionalTest.java@,test/RoleFunctionalTest.java@sFakeCheckUser : String,"[BlameRes(sha1='e4fb70f394fb6f014ecaab314c61c4fdaac4eda4', oline='65', file_name='test/RoleFunctionalTest.java')]",,
