giraph
Repository,Granularity level,fine-grained commits,CGR type,CGR left,CGR right,CGR traced location,Cause,
giraph,2,"('5bca08f04cbfb0f518ef92d96d1d70c9d183c160', '3dacc265dd2fec046ccf4949db14b8605923a294')",Rename Attribute,giraph-core/src/main/java/org/apache/giraph/comm/netty/handler/RequestServerHandler.java@limitOpenRequestsPerWorker : boolean,giraph-core/src/main/java/org/apache/giraph/comm/netty/handler/RequestServerHandler.java@nettyAutoRead : boolean,"[BlameRes(sha1='9090ae0f14a006d51e1baa094d8f56e4bd1a404d', oline='31', file_name='giraph-core/src/main/java/org/apache/giraph/comm/netty/handler/RequestServerHandler.java')]",,
giraph,2,"('f423d70b62f1c37e5ddc542e4fbc4d824828f2a9', 'e47d9b427151b3de789b5ddeb3058ddbb3fc5b6e')",Remove Method Modifier,giraph-hive/src/main/java/org/apache/giraph/hive/input/edge/AbstractHiveToEdge.java@public remove() : void,giraph-core/src/main/java/org/apache/giraph/comm/SendMessageCache.java@public remove() : void,"[BlameRes(sha1='d578a36b14d92d8744bcbeb8cdcd74c1c54e39c2', oline='11', file_name='giraph-hive/src/main/java/org/apache/giraph/hive/input/edge/AbstractHiveToEdge.java')]",,
giraph,2,"('f423d70b62f1c37e5ddc542e4fbc4d824828f2a9', 'e47d9b427151b3de789b5ddeb3058ddbb3fc5b6e')",Move Method,giraph-hive/src/main/java/org/apache/giraph/hive/input/edge/AbstractHiveToEdge.java@public remove() : void,giraph-core/src/main/java/org/apache/giraph/comm/SendMessageCache.java@public remove() : void,"[BlameRes(sha1='d578a36b14d92d8744bcbeb8cdcd74c1c54e39c2', oline='11', file_name='giraph-hive/src/main/java/org/apache/giraph/hive/input/edge/AbstractHiveToEdge.java')]",,
giraph,2,"('f423d70b62f1c37e5ddc542e4fbc4d824828f2a9', 'e47d9b427151b3de789b5ddeb3058ddbb3fc5b6e')",Remove Method Modifier,giraph-hive/src/main/java/org/apache/giraph/hive/input/mapping/AbstractHiveToMapping.java@public remove() : void,giraph-core/src/main/java/org/apache/giraph/comm/SendMessageCache.java@public remove() : void,"[BlameRes(sha1='9e4312db18af78abcf31d8520e03760896d43480', oline='12', file_name='giraph-hive/src/main/java/org/apache/giraph/hive/input/mapping/AbstractHiveToMapping.java')]",,
giraph,2,"('f423d70b62f1c37e5ddc542e4fbc4d824828f2a9', 'e47d9b427151b3de789b5ddeb3058ddbb3fc5b6e')",Move Method,giraph-hive/src/main/java/org/apache/giraph/hive/input/mapping/AbstractHiveToMapping.java@public remove() : void,giraph-core/src/main/java/org/apache/giraph/comm/SendMessageCache.java@public remove() : void,"[BlameRes(sha1='9e4312db18af78abcf31d8520e03760896d43480', oline='12', file_name='giraph-hive/src/main/java/org/apache/giraph/hive/input/mapping/AbstractHiveToMapping.java')]",,
giraph,2,"('f423d70b62f1c37e5ddc542e4fbc4d824828f2a9', 'e47d9b427151b3de789b5ddeb3058ddbb3fc5b6e')",Remove Method Modifier,giraph-hive/src/main/java/org/apache/giraph/hive/input/vertex/AbstractHiveToVertex.java@public remove() : void,giraph-core/src/main/java/org/apache/giraph/comm/SendMessageCache.java@public remove() : void,"[BlameRes(sha1='d578a36b14d92d8744bcbeb8cdcd74c1c54e39c2', oline='12', file_name='giraph-hive/src/main/java/org/apache/giraph/hive/input/vertex/AbstractHiveToVertex.java')]",,
giraph,2,"('f423d70b62f1c37e5ddc542e4fbc4d824828f2a9', 'e47d9b427151b3de789b5ddeb3058ddbb3fc5b6e')",Move Method,giraph-hive/src/main/java/org/apache/giraph/hive/input/vertex/AbstractHiveToVertex.java@public remove() : void,giraph-core/src/main/java/org/apache/giraph/comm/SendMessageCache.java@public remove() : void,"[BlameRes(sha1='d578a36b14d92d8744bcbeb8cdcd74c1c54e39c2', oline='12', file_name='giraph-hive/src/main/java/org/apache/giraph/hive/input/vertex/AbstractHiveToVertex.java')]",,
giraph,2,"('46cd48a66abb86e9af878eb03cb0c0ea9edd5082', '1152db45c1e3021acbd89d013fa0967fc3691297')",Extract Class,giraph-core/src/main/java/org/apache/giraph/worker/WorkerProgress.java@org.apache.giraph.worker.WorkerProgress,giraph-core/src/main/java/org/apache/giraph/worker/WorkerProgress.java@org.apache.giraph.worker.WorkerProgress,"[BlameRes(sha1='ef64561a1fc123a7d9efe03f1d3cacb8d14871f8', oline='18', file_name='giraph-core/src/main/java/org/apache/giraph/worker/WorkerProgress.java')]",,
giraph,2,"('46cd48a66abb86e9af878eb03cb0c0ea9edd5082', '1152db45c1e3021acbd89d013fa0967fc3691297')",Move Method,giraph-core/src/main/java/org/apache/giraph/worker/WorkerProgress.java@public readFields(dataInput DataInput) : void,giraph-examples/src/main/java/org/apache/giraph/examples/scc/SccVertexValue.java@public readFields(in DataInput) : void,"[BlameRes(sha1='ef64561a1fc123a7d9efe03f1d3cacb8d14871f8', oline='236', file_name='giraph-core/src/main/java/org/apache/giraph/worker/WorkerProgress.java')]",G,
giraph,2,"('46cd48a66abb86e9af878eb03cb0c0ea9edd5082', '1152db45c1e3021acbd89d013fa0967fc3691297')",Rename Parameter,giraph-core/src/main/java/org/apache/giraph/worker/WorkerProgress.java@dataInput : DataInput,giraph-examples/src/main/java/org/apache/giraph/examples/scc/SccVertexValue.java@in : DataInput,"[BlameRes(sha1='ef64561a1fc123a7d9efe03f1d3cacb8d14871f8', oline='237', file_name='giraph-core/src/main/java/org/apache/giraph/worker/WorkerProgress.java')]",,
