processing,2,"('93ed3296e0635ba8b89387fa1e1572e590891e34', '68efe43a1f6d14321205888d23da142e0facf92c')",Pull Up Attribute,java/src/processing/mode/java/JavaEditor.java@private errorColumn : MarkerColumn,app/src/processing/app/ui/Editor.java@protected errorColumn : MarkerColumn,"[BlameRes(sha1='3bb434de5fceaa8164a2c620aeb11f86f5edcd70', oline='84', file_name='java/src/processing/mode/java/JavaEditor.java')]",G,not explicit
processing,3,"('a5ee37a4c38a0309cbb478bc07997541c128a233', '1141d0ba006df2b8324d66b998236c081c922a5b', 'a17e1951d04617d84b28a4a213c26e8dcfc826bd')",Move And Rename Method,core/src/processing/data/FloatList.java@public toIntArray() : int[],core/src/processing/data/JSONArray.java@public getIntArray() : int[],"[BlameRes(sha1='d895eb3d6a1a4a28a23ba8bd09434a1b22be1a18', oline='169', file_name='core/src/processing/data/FloatList.java')]",G,not explicit
processing,4,"('55de751e9482b89f5dcf2eec37aa4c9cf6b1b42f', 'a926f1fef7481a34e717d4b7c6fc91eb3d8781dc', 'ae409e8230f9a550d2db900808d86eb6022eb57e', 'dee41b93021b331c9075d2d455228b47f16300d4')",Split Parameter,pdex/src/processing/mode/experimental/TextArea.java@items : CompletionCandidate[],pdex/src/processing/mode/experimental/TextArea.java@defListModel : DefaultListModel,"[BlameRes(sha1='9c7e1b81f82572a8b8bbb038e793fa42fa37b22f', oline='383', file_name='pdex/src/processing/mode/experimental/TextArea.java')]",C: Change Parameter Type + Rename Parameter + Add parameter,not explicit
processing,5,"('60a2823e3bc0e9788d37d91e4c463025ec052f87', '399a819c48cba8674870bd37be4530ea619e2d57', '7638c9cb05b54e4d0492f444315d8f49f413b46d', 'f372f18d283ce46d972af508dec4afdc678c24f6', 'ca9a5813dcafed4a74eacaefb62636bd89c01ed9')",Remove Variable Modifier,android/tool/src/processing/app/tools/android/Build.java@writer : PrintWriter,android/tool/src/processing/app/tools/android/Manifest.java@writer : PrintWriter,"[BlameRes(sha1='c513b0a9f8d19be20c07090e6581411c2321c710', oline='401', file_name='android/tool/src/processing/app/tools/android/Build.java')]",G,not explicit
jeromq,2,"('51aaa5992c354853c55e9f835b019b60e64aa21c', '7993ad79fd7a270b319b1ce06ed67ee913547102')",Move Method,"src/main/java/zmq/Proxy.java@protected xsend(msg_ Msg, flags_ int) : boolean","src/main/java/zmq/Sub.java@protected xsend(msg_ Msg, flags_ int) : boolean","[BlameRes(sha1='b2adccac2e6c4bc7b772efe12177ad56c519a7e8', oline='19', file_name='src/main/java/zmq/Proxy.java')]",G,Not explicit
jeromq,3,"('5a7d1af4f30e2def6d16bb74e4f50947c0f73ec8', '51b6f2aec190eb979f3bbe027c95a74a11dc32dc', '1c31092459ccd2594fa2923d045ea20fc7013ef7')",Move And Rename Method,"src/main/java/zmq/IpcAddress.java@public resolve(name_ String, local_ boolean, ip4only_ boolean) : void",src/main/java/zmq/StreamEngine.java@public accept_event() : void,"[BlameRes(sha1='e379eb95f858271cc3df3316b2b4b3719f205380', oline='12', file_name='src/main/java/zmq/IpcAddress.java')]",x,
jeromq,3,"('51aaa5992c354853c55e9f835b019b60e64aa21c', '7993ad79fd7a270b319b1ce06ed67ee913547102', 'b2adccac2e6c4bc7b772efe12177ad56c519a7e8')",Move Attribute,src/main/java/zmq/Encoder.java@private bufsize : int,src/main/java/zmq/DecoderBase.java@private bufsize : int,"[BlameRes(sha1='e379eb95f858271cc3df3316b2b4b3719f205380', oline='21', file_name='src/main/java/zmq/Encoder.java')]",C: Remove Attribute + Add Attribute,Not explicit
jeromq,4,"('b2adccac2e6c4bc7b772efe12177ad56c519a7e8', '488c48bf81b90c8c55b6c674ba0fe197948c210c', 'cbb4daf48d4a66a92f2bfc0d6b86cdd97b87be63', '5a7d1af4f30e2def6d16bb74e4f50947c0f73ec8')",Move Class,src/main/java/org/zermq/ZMQ.java@org.zermq.ZMQ.Socket,src/main/java/org/zeromq/ZMQ.java@org.zeromq.ZMQ.Socket,"[BlameRes(sha1='359d36bd1d4c2a1f6b7c0628d81b54dd54352279', oline='31', file_name='src/main/java/org/zermq/ZMQ.java')]",G,Not explicit
jeromq,5,"('51b6f2aec190eb979f3bbe027c95a74a11dc32dc', '1c31092459ccd2594fa2923d045ea20fc7013ef7', '359d36bd1d4c2a1f6b7c0628d81b54dd54352279', 'ed4e48482863f911078d2cca1a0ce71711a38581', 'a8ea374d703ba4dbed36ff2c39b3b6a4a6d25f44')",Move And Rename Method,"src/main/java/zmq/IpcAddress.java@public resolve(name_ String, local_ boolean, ip4only_ boolean) : void",src/main/java/zmq/IOThread.java@public accept_event() : void,"[BlameRes(sha1='e379eb95f858271cc3df3316b2b4b3719f205380', oline='12', file_name='src/main/java/zmq/IpcAddress.java')]",X,
jeromq,5,"('fd69e57e0b0be21382a3131fdbf78f349a2fb9ec', '83bd5e099e63c0238c2a290fae9442d35ff3a535', '98e324c66c1d880f787377089390f42ef7b5f2a4', 'a5a021e0b0d9424512d335d10c792078c79921c8', '81317d2c9196a8d2a839ce56fbdf3f3159fc414e')",Move And Inline Method,src/main/java/zmq/ZError.java@public EAGAIN() : void,src/main/java/zmq/FQ.java@public recvpipe(pipe_ Pipe[]) : Msg,"[BlameRes(sha1='8585218e984943ddb6e0c96bbfb151c9b5f0fd18', oline='132', file_name='src/main/java/zmq/ZError.java')]",G,Not explicit
