Repository,Granularity level,fine-grained commits,CGR type,CGR left,CGR right,CGR traced location,Cause
truth,2,"('fc2412dd86d298949bc6ea74b52871873ac5542f', '9e98bbba6f91f6f3aca71fa660b9465c8b6079a9')",Move And Inline Method,extensions/proto/src/main/java/com/google/common/truth/extensions/proto/FluentEqualityConfig.java@public validate(rootDescriptor Descriptor) : void,"extensions/proto/src/main/java/com/google/common/truth/extensions/proto/FieldScopeLogic.java@public validate(rootDescriptor Descriptor, fieldDescriptorValidator FieldDescriptorValidator) : void","[BlameRes(sha1='22eb447274d626866a81c02223db806a92e6baa0', oline='180', file_name='extensions/proto/src/main/java/com/google/common/truth/extensions/proto/FluentEqualityConfig.java')]"
truth,2,"('07d89f608226af3a55d6bd943359f6abd17559fc', '37241c662482486cbb4641d22696f1da4b61acd3')",Extract And Move Method,core/src/test/java/com/google/common/truth/DoubleSubjectTest.java@private assertThatIsZeroFails(value Double) : void,"core/src/test/java/com/google/common/truth/FloatSubjectTest.java@private expectFailureWithMessage(callback ExpectFailure.DelegatedAssertionCallback<FloatSubject,Float>, failureMessage String) : void","[BlameRes(sha1='636bd6be3a1a5144c502c545bd9b68718adbecde', oline='348', file_name='core/src/test/java/com/google/common/truth/DoubleSubjectTest.java')]"
truth,2,"('07d89f608226af3a55d6bd943359f6abd17559fc', '37241c662482486cbb4641d22696f1da4b61acd3')",Extract And Move Method,core/src/test/java/com/google/common/truth/DoubleSubjectTest.java@private assertThatIsNonZeroFails(value Double) : void,"core/src/test/java/com/google/common/truth/FloatSubjectTest.java@private expectFailureWithMessage(callback ExpectFailure.DelegatedAssertionCallback<FloatSubject,Float>, failureMessage String) : void","[BlameRes(sha1='636bd6be3a1a5144c502c545bd9b68718adbecde', oline='369', file_name='core/src/test/java/com/google/common/truth/DoubleSubjectTest.java')]"
truth,2,"('07d89f608226af3a55d6bd943359f6abd17559fc', '37241c662482486cbb4641d22696f1da4b61acd3')",Extract And Move Method,core/src/test/java/com/google/common/truth/DoubleSubjectTest.java@private assertThatIsPositiveInfinityFails(value Double) : void,"core/src/test/java/com/google/common/truth/FloatSubjectTest.java@private expectFailureWithMessage(callback ExpectFailure.DelegatedAssertionCallback<FloatSubject,Float>, failureMessage String) : void","[BlameRes(sha1='372ffe7e8d7e5fb6e8b5e4a757776e00f2dd7942', oline='152', file_name='core/src/test/java/com/google/common/truth/DoubleTest.java')]"
truth,2,"('07d89f608226af3a55d6bd943359f6abd17559fc', '37241c662482486cbb4641d22696f1da4b61acd3')",Extract And Move Method,core/src/test/java/com/google/common/truth/DoubleSubjectTest.java@private assertThatIsNegativeInfinityFails(value Double) : void,"core/src/test/java/com/google/common/truth/FloatSubjectTest.java@private expectFailureWithMessage(callback ExpectFailure.DelegatedAssertionCallback<FloatSubject,Float>, failureMessage String) : void","[BlameRes(sha1='372ffe7e8d7e5fb6e8b5e4a757776e00f2dd7942', oline='171', file_name='core/src/test/java/com/google/common/truth/DoubleTest.java')]"
truth,2,"('07d89f608226af3a55d6bd943359f6abd17559fc', '37241c662482486cbb4641d22696f1da4b61acd3')",Extract And Move Method,core/src/test/java/com/google/common/truth/DoubleSubjectTest.java@private assertThatIsNaNFails(value Double) : void,"core/src/test/java/com/google/common/truth/FloatSubjectTest.java@private expectFailureWithMessage(callback ExpectFailure.DelegatedAssertionCallback<FloatSubject,Float>, failureMessage String) : void","[BlameRes(sha1='372ffe7e8d7e5fb6e8b5e4a757776e00f2dd7942', oline='190', file_name='core/src/test/java/com/google/common/truth/DoubleTest.java')]"
truth,2,"('07d89f608226af3a55d6bd943359f6abd17559fc', '37241c662482486cbb4641d22696f1da4b61acd3')",Extract And Move Method,core/src/test/java/com/google/common/truth/DoubleSubjectTest.java@private assertThatIsFiniteFails(value Double) : void,"core/src/test/java/com/google/common/truth/FloatSubjectTest.java@private expectFailureWithMessage(callback ExpectFailure.DelegatedAssertionCallback<FloatSubject,Float>, failureMessage String) : void","[BlameRes(sha1='24ee3f4c518533c1f8be80759d8a65143f1747fe', oline='263', file_name='core/src/test/java/com/google/common/truth/DoubleTest.java')]"
truth,2,"('07d89f608226af3a55d6bd943359f6abd17559fc', '37241c662482486cbb4641d22696f1da4b61acd3')",Extract And Move Method,core/src/test/java/com/google/common/truth/DoubleSubjectTest.java@private assertThatIsNotNaNFails(value Double) : void,"core/src/test/java/com/google/common/truth/FloatSubjectTest.java@private expectFailureWithMessage(callback ExpectFailure.DelegatedAssertionCallback<FloatSubject,Float>, failureMessage String) : void","[BlameRes(sha1='24ee3f4c518533c1f8be80759d8a65143f1747fe', oline='284', file_name='core/src/test/java/com/google/common/truth/DoubleTest.java')]"
truth,2,"('07d89f608226af3a55d6bd943359f6abd17559fc', '37241c662482486cbb4641d22696f1da4b61acd3')",Extract And Move Method,core/src/test/java/com/google/common/truth/DoubleSubjectTest.java@private assertThatIsZeroFails(value Double) : void,"core/src/test/java/com/google/common/truth/IntegerSubjectTest.java@private expectFailureWithMessage(callback ExpectFailure.DelegatedAssertionCallback<DefaultSubject,Object>, failureMessage String) : void","[BlameRes(sha1='636bd6be3a1a5144c502c545bd9b68718adbecde', oline='348', file_name='core/src/test/java/com/google/common/truth/DoubleSubjectTest.java')]"
truth,2,"('07d89f608226af3a55d6bd943359f6abd17559fc', '37241c662482486cbb4641d22696f1da4b61acd3')",Extract And Move Method,core/src/test/java/com/google/common/truth/DoubleSubjectTest.java@private assertThatIsNonZeroFails(value Double) : void,"core/src/test/java/com/google/common/truth/IntegerSubjectTest.java@private expectFailureWithMessage(callback ExpectFailure.DelegatedAssertionCallback<DefaultSubject,Object>, failureMessage String) : void","[BlameRes(sha1='636bd6be3a1a5144c502c545bd9b68718adbecde', oline='369', file_name='core/src/test/java/com/google/common/truth/DoubleSubjectTest.java')]"
truth,2,"('07d89f608226af3a55d6bd943359f6abd17559fc', '37241c662482486cbb4641d22696f1da4b61acd3')",Extract And Move Method,core/src/test/java/com/google/common/truth/DoubleSubjectTest.java@private assertThatIsPositiveInfinityFails(value Double) : void,"core/src/test/java/com/google/common/truth/IntegerSubjectTest.java@private expectFailureWithMessage(callback ExpectFailure.DelegatedAssertionCallback<DefaultSubject,Object>, failureMessage String) : void","[BlameRes(sha1='372ffe7e8d7e5fb6e8b5e4a757776e00f2dd7942', oline='152', file_name='core/src/test/java/com/google/common/truth/DoubleTest.java')]"
